epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,898.898,0.71197,0.99,0.78508,0.94648,0.97383,0.98944,0.82553,0.64572,0.55463,0.77768,5.4953e-05,5.4953e-05,5.4953e-05
72,912.649,0.68677,0.94089,0.78565,0.95326,0.97305,0.99117,0.82881,0.63715,0.54613,0.77701,5.31809e-05,5.31809e-05,5.31809e-05
73,923.295,0.68855,0.96113,0.78846,0.96141,0.97703,0.99082,0.82758,0.64544,0.54531,0.77566,5.14088e-05,5.14088e-05,5.14088e-05
74,936.643,0.69048,0.93851,0.78736,0.95449,0.97333,0.99079,0.83006,0.64141,0.54436,0.77762,4.96367e-05,4.96367e-05,4.96367e-05
75,949.768,0.69354,0.95679,0.79315,0.95713,0.98481,0.99154,0.82561,0.64261,0.53503,0.77761,4.78646e-05,4.78646e-05,4.78646e-05
76,960.563,0.69799,0.94794,0.78743,0.96249,0.97491,0.9923,0.82791,0.64768,0.5362,0.77476,4.60925e-05,4.60925e-05,4.60925e-05
77,972.942,0.69068,0.91172,0.78897,0.9741,0.97479,0.99294,0.82764,0.64532,0.52624,0.77534,4.43204e-05,4.43204e-05,4.43204e-05
78,985.698,0.69599,0.94829,0.78625,0.95875,0.97361,0.99171,0.82765,0.64088,0.52907,0.77662,4.25483e-05,4.25483e-05,4.25483e-05
79,998.166,0.68716,0.9084,0.79176,0.9726,0.9831,0.99343,0.83102,0.63229,0.52454,0.7763,4.07762e-05,4.07762e-05,4.07762e-05
80,1008.86,0.68495,0.90313,0.78542,0.9658,0.98324,0.99241,0.83119,0.63808,0.51983,0.77611,3.90041e-05,3.90041e-05,3.90041e-05
81,1022.03,0.6738,0.90204,0.78751,0.96743,0.9769,0.99166,0.83449,0.62846,0.51367,0.77614,3.7232e-05,3.7232e-05,3.7232e-05
82,1035.24,0.68839,0.9004,0.78386,0.95331,0.97812,0.99254,0.82492,0.64665,0.51931,0.77561,3.54599e-05,3.54599e-05,3.54599e-05
83,1046.22,0.69303,0.91662,0.78692,0.96915,0.97705,0.99209,0.83114,0.63008,0.51207,0.77473,3.36878e-05,3.36878e-05,3.36878e-05
84,1058.32,0.67037,0.89971,0.78809,0.96699,0.97892,0.99145,0.82945,0.63074,0.5114,0.77524,3.19157e-05,3.19157e-05,3.19157e-05
85,1071.5,0.6672,0.87299,0.78773,0.96884,0.98781,0.99284,0.83022,0.63636,0.50709,0.77526,3.01436e-05,3.01436e-05,3.01436e-05
86,1083.91,0.66373,0.86081,0.78545,0.97039,0.98148,0.99289,0.82885,0.64034,0.50563,0.77483,2.83715e-05,2.83715e-05,2.83715e-05
87,1098.9,0.68113,0.89562,0.78661,0.97306,0.98382,0.99341,0.82998,0.62964,0.50149,0.7738,2.65994e-05,2.65994e-05,2.65994e-05
88,1109.96,0.66266,0.88991,0.79089,0.97,0.98484,0.99308,0.83094,0.63111,0.50037,0.77601,2.48273e-05,2.48273e-05,2.48273e-05
89,1122.81,0.67355,0.89147,0.7903,0.97274,0.98413,0.9935,0.83406,0.62907,0.49795,0.77588,2.30552e-05,2.30552e-05,2.30552e-05
90,1136.11,0.66338,0.8711,0.78538,0.97039,0.9862,0.99333,0.83255,0.63223,0.49915,0.77524,2.12831e-05,2.12831e-05,2.12831e-05
91,1149.2,0.64224,0.79332,0.783,0.96964,0.98325,0.99322,0.83125,0.63366,0.50723,0.77407,1.9511e-05,1.9511e-05,1.9511e-05
92,1160.75,0.63015,0.79221,0.7862,0.9693,0.98776,0.993,0.82805,0.63832,0.51181,0.77539,1.77389e-05,1.77389e-05,1.77389e-05
93,1173.86,0.63227,0.77195,0.78259,0.97169,0.98339,0.99318,0.83046,0.6401,0.51176,0.77576,1.59668e-05,1.59668e-05,1.59668e-05
94,1185.3,0.62789,0.76926,0.7857,0.97405,0.97884,0.99295,0.82998,0.63677,0.50879,0.77537,1.41947e-05,1.41947e-05,1.41947e-05
95,1196.42,0.63129,0.748,0.77864,0.96834,0.98618,0.99294,0.82891,0.63631,0.49914,0.77552,1.24226e-05,1.24226e-05,1.24226e-05
96,1209.94,0.63434,0.76489,0.78213,0.96921,0.98577,0.99298,0.83147,0.63525,0.49846,0.77567,1.06505e-05,1.06505e-05,1.06505e-05
97,1222.01,0.62864,0.74778,0.78572,0.97205,0.98517,0.99295,0.83001,0.63424,0.49802,0.77513,8.8784e-06,8.8784e-06,8.8784e-06
98,1232.19,0.61929,0.74691,0.78078,0.97398,0.98342,0.99293,0.82898,0.63308,0.49501,0.7746,7.1063e-06,7.1063e-06,7.1063e-06
99,1244.92,0.61989,0.74617,0.78432,0.97304,0.98486,0.99331,0.83001,0.63594,0.49198,0.77524,5.3342e-06,5.3342e-06,5.3342e-06
100,1257.74,0.62568,0.76306,0.78468,0.97277,0.98512,0.99309,0.83169,0.63147,0.49155,0.77495,3.5621e-06,3.5621e-06,3.5621e-06
